번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1439884,멕시칸치킨,영업/정상,강원도 원주시 단구동 1462-1번지,284363.45884415,425842.179282853,통닭(치킨)
1439885,금두꺼비,영업/정상,강원도 원주시 개운동 383-6,284621.512829783,427123.326362482,한식
1439886,새서울식당,영업/정상,강원도 원주시 지정면 간현리 1047-5번지,273961.811713308,429475.743758613,한식
1439887,쌍동통닭,영업/정상,강원도 원주시 태장동 1380-20번지,283908.577287197,431774.054669017,통닭(치킨)
1439888,꾸러기분식,영업/정상,강원도 원주시 중앙동 56-44번지 자유시장 지층 31부럭2호,284033.921552232,428036.658847502,한식
1439889,방아다리막국수,영업/정상,강원도 원주시 단구동 1669-9번지,284877.495,424632.5,분식
1439890,다진숯불구이,영업/정상,강원도 원주시 단구동 1464-21 1층,284290.047124468,425844.539442861,한식
1439891,주문진마차식당,영업/정상,강원도 강릉시 교동 1906-4,364987.311099725,474922.295847298,복어취급
1439892,팔봉스넥,영업/정상,강원도 춘천시 운교동 188-10,264639.326146862,486364.392438386,기타
1439893,고은이네,영업/정상,강원도 춘천시 석사동 644,265331.236802453,484498.928149309,기타
1439894,뿔발불막창춘천점,영업/정상,강원도 춘천시 조양동 2-8 외1필지,264364.824376806,486798.478056671,식육(숯불구이)
1439895,엉생무한리필,영업/정상,"강원도 춘천시 중앙로2가 87-2 87-1, 89-2",263852.131869105,486590.884440476,식육(숯불구이)
1439896,부부횟집,영업/정상,강원도 춘천시 퇴계동 1140,263934.914257627,485115.583225244,횟집
1439897,바른치킨춘천온의롯데캐슬점,영업/정상,강원도 춘천시 온의동 590번지,263147.153512908,485489.588263733,호프/통닭
1439898,국밥참맛있는집 퇴계점,영업/정상,강원도 춘천시 퇴계동 907,263890.273672243,484406.506646006,기타
1439899,파티하니,영업/정상,강원도 춘천시 칠전동 607-5,262929.958084719,482381.177036151,기타
1439900,어야네,영업/정상,강원도 강릉시 노암동 702-11번지,367137.489132428,473323.023248831,한식
1439901,굽네치킨성덕점,영업/정상,강원도 강릉시 입암동 498-12번지,368303.634921799,474279.69304673,통닭(치킨)
